Country.Code,Country,Indicator_GDP,GDP_pc,Indicator_unemployment,Unemployment,Indicator.Name.Communicable,Death_disease,Indicator.Name.Population1564,Age_1564,Indicator.Name.65up,Age_65up
GRL,Greenland,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
GTM,Guatemala,"GDP per capita, PPP (constant 2011 international $)",7508.864463,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.459000111,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.1,Population ages 15-64 (% of total population),60.7525321,Population ages 65 and above (% of total population),4.812072508
GUM,Guam,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.31099987,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),65.68638097,Population ages 65 and above (% of total population),9.849910719
GUY,Guyana,"GDP per capita, PPP (constant 2011 international $)",7667.13049,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.85200024,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20,Population ages 15-64 (% of total population),65.33518355,Population ages 65 and above (% of total population),6.450271243
HIC,High income,"GDP per capita, PPP (constant 2011 international $)",44896.3103,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.800650721,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.691179656,Population ages 15-64 (% of total population),65.54448938,Population ages 65 and above (% of total population),17.93204393
HKG,"Hong Kong SAR, China","GDP per capita, PPP (constant 2011 international $)",57318.05783,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.628999949,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),71.2240546,Population ages 65 and above (% of total population),16.87504833
HND,Honduras,"GDP per capita, PPP (constant 2011 international $)",4559.736508,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.386000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14,Population ages 15-64 (% of total population),63.56850081,Population ages 65 and above (% of total population),4.690617659
HPC,Heavily indebted poor countries (HIPC),"GDP per capita, PPP (constant 2011 international $)",2245.500655,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.447175777,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",52.91210918,Population ages 15-64 (% of total population),54.11553089,Population ages 65 and above (% of total population),3.028409238
HRV,Croatia,"GDP per capita, PPP (constant 2011 international $)",23664.14523,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.934999943,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.3,Population ages 15-64 (% of total population),65.04262698,Population ages 65 and above (% of total population),20.44543301
HTI,Haiti,"GDP per capita, PPP (constant 2011 international $)",1656.293904,"Unemployment, total (% of total labor force) (modeled ILO estimate)",13.78100014,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",30.3,Population ages 15-64 (% of total population),61.80835189,Population ages 65 and above (% of total population),4.949403848
HUN,Hungary,"GDP per capita, PPP (constant 2011 international $)",28464.5602,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.398999929,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.8,Population ages 15-64 (% of total population),66.4302824,Population ages 65 and above (% of total population),19.15772538
IBD,IBRD only,"GDP per capita, PPP (constant 2011 international $)",13152.68948,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.769773013,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.1724543,Population ages 15-64 (% of total population),67.93499434,Population ages 65 and above (% of total population),8.483780139
IBT,IDA & IBRD total,"GDP per capita, PPP (constant 2011 international $)",10698.66196,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.529926052,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",22.98718758,Population ages 15-64 (% of total population),65.29225752,Population ages 65 and above (% of total population),7.224820741
IDA,IDA total,"GDP per capita, PPP (constant 2011 international $)",3600.121063,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.715218567,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.35983374,Population ages 15-64 (% of total population),57.59400532,Population ages 65 and above (% of total population),3.557491151
IDB,IDA blend,"GDP per capita, PPP (constant 2011 international $)",4981.65377,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.46190299,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",50.07895812,Population ages 15-64 (% of total population),57.75720147,Population ages 65 and above (% of total population),3.498860383
IDN,Indonesia,"GDP per capita, PPP (constant 2011 international $)",11605.85533,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.686999798,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.7,Population ages 15-64 (% of total population),67.59163708,Population ages 65 and above (% of total population),5.857165613
IDX,IDA only,"GDP per capita, PPP (constant 2011 international $)",2880.333793,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.382269776,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.80082766,Population ages 15-64 (% of total population),57.51021929,Population ages 65 and above (% of total population),3.587592591
IMN,Isle of Man,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
IND,India,"GDP per capita, PPP (constant 2011 international $)",6888.188468,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.355000019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",26,Population ages 15-64 (% of total population),66.7667425,Population ages 65 and above (% of total population),6.179955649
INX,Not classified,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
IRL,Ireland,"GDP per capita, PPP (constant 2011 international $)",70855.32724,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.927999973,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.1,Population ages 15-64 (% of total population),64.72777871,Population ages 65 and above (% of total population),13.8658017
IRN,"Iran, Islamic Rep.","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.38199997,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.9,Population ages 15-64 (% of total population),69.33886753,Population ages 65 and above (% of total population),6.184573806
IRQ,Iraq,"GDP per capita, PPP (constant 2011 international $)",15471.24529,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.82199955,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",16.8,Population ages 15-64 (% of total population),58.28983494,Population ages 65 and above (% of total population),3.323599663
ISL,Iceland,"GDP per capita, PPP (constant 2011 international $)",48605.57707,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.842000008,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.4,Population ages 15-64 (% of total population),65.37258734,Population ages 65 and above (% of total population),14.79509256
ISR,Israel,"GDP per capita, PPP (constant 2011 international $)",33609.02306,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.861000061,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10,Population ages 15-64 (% of total population),60.09776752,Population ages 65 and above (% of total population),11.97698602
ITA,Italy,"GDP per capita, PPP (constant 2011 international $)",35828.48628,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.887000084,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.9,Population ages 15-64 (% of total population),63.91920431,Population ages 65 and above (% of total population),22.7516796
JAM,Jamaica,"GDP per capita, PPP (constant 2011 international $)",8275.769452,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.001999855,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.2,Population ages 15-64 (% of total population),67.45326077,Population ages 65 and above (% of total population),8.796642551
JOR,Jordan,"GDP per capita, PPP (constant 2011 international $)",8410.856072,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.71500015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.7,Population ages 15-64 (% of total population),61.90801939,Population ages 65 and above (% of total population),3.846490398
JPN,Japan,"GDP per capita, PPP (constant 2011 international $)",39293.69158,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.290999889,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.7,Population ages 15-64 (% of total population),59.72678128,Population ages 65 and above (% of total population),27.57636991
KAZ,Kazakhstan,"GDP per capita, PPP (constant 2011 international $)",24738.36283,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.590000153,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.5,Population ages 15-64 (% of total population),64.14760395,Population ages 65 and above (% of total population),7.391846271
KEN,Kenya,"GDP per capita, PPP (constant 2011 international $)",3076.844818,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.64199996,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.3,Population ages 15-64 (% of total population),57.87864645,Population ages 65 and above (% of total population),2.339186612
KGZ,Kyrgyz Republic,"GDP per capita, PPP (constant 2011 international $)",3446.99394,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.329999924,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.6,Population ages 15-64 (% of total population),63.15485491,Population ages 65 and above (% of total population),4.494727976
KHM,Cambodia,"GDP per capita, PPP (constant 2011 international $)",3869.489181,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.676999986,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25.6,Population ages 15-64 (% of total population),64.22990522,Population ages 65 and above (% of total population),4.568680018
KIR,Kiribati,"GDP per capita, PPP (constant 2011 international $)",2035.449728,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",28.7,Population ages 15-64 (% of total population),60.50739337,Population ages 65 and above (% of total population),3.952627172
KNA,St. Kitts and Nevis,"GDP per capita, PPP (constant 2011 international $)",26804.08621,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
KOR,"Korea, Rep.","GDP per capita, PPP (constant 2011 international $)",36776.51928,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.147999763,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.1,Population ages 15-64 (% of total population),72.60812059,Population ages 65 and above (% of total population),14.41855583
KWT,Kuwait,"GDP per capita, PPP (constant 2011 international $)",64683.72998,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.181999922,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.8,Population ages 15-64 (% of total population),75.91063957,Population ages 65 and above (% of total population),2.550472384
LAC,Latin America & Caribbean (excluding high income),"GDP per capita, PPP (constant 2011 international $)",14329.83436,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.126516874,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.85078539,Population ages 15-64 (% of total population),66.99239321,Population ages 65 and above (% of total population),8.24270282
LAO,Lao PDR,"GDP per capita, PPP (constant 2011 international $)",6601.332345,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.625999987,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",31.4,Population ages 15-64 (% of total population),63.32093135,Population ages 65 and above (% of total population),4.075149964
LBN,Lebanon,"GDP per capita, PPP (constant 2011 international $)",11607.17582,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.229000092,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.6,Population ages 15-64 (% of total population),66.9017647,Population ages 65 and above (% of total population),7.002368134
LBR,Liberia,"GDP per capita, PPP (constant 2011 international $)",1161.177916,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.813999891,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",58.5,Population ages 15-64 (% of total population),55.62158161,Population ages 65 and above (% of total population),3.2534318
LBY,Libya,"GDP per capita, PPP (constant 2011 international $)",18424.53359,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.56299973,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8,Population ages 15-64 (% of total population),67.28872201,Population ages 65 and above (% of total population),4.392040259
LCA,St. Lucia,"GDP per capita, PPP (constant 2011 international $)",12317.26958,"Unemployment, total (% of total labor force) (modeled ILO estimate)",20.70599937,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.7,Population ages 15-64 (% of total population),71.66458664,Population ages 65 and above (% of total population),9.806530356
LCN,Latin America & Caribbean,"GDP per capita, PPP (constant 2011 international $)",14845.96748,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.061846297,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13.626839,Population ages 15-64 (% of total population),67.00809265,Population ages 65 and above (% of total population),8.438306072
LDC,Least developed countries: UN classification,"GDP per capita, PPP (constant 2011 international $)",2654.744382,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.348273014,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.54998568,Population ages 15-64 (% of total population),57.02638841,Population ages 65 and above (% of total population),3.540249106
LIC,Low income,"GDP per capita, PPP (constant 2011 international $)",2024.659071,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.897647693,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",50.11571278,Population ages 15-64 (% of total population),54.81972624,Population ages 65 and above (% of total population),3.291171653
LIE,Liechtenstein,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
LKA,Sri Lanka,"GDP per capita, PPP (constant 2011 international $)",11955.49971,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.197999954,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.5,Population ages 15-64 (% of total population),65.32977922,Population ages 65 and above (% of total population),10.47321975
LMC,Lower middle income,"GDP per capita, PPP (constant 2011 international $)",6792.631051,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.27911409,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",30.25400241,Population ages 15-64 (% of total population),64.29084934,Population ages 65 and above (% of total population),5.529415473
LMY,Low & middle income,"GDP per capita, PPP (constant 2011 international $)",10505.96443,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.522836646,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",23.11943296,Population ages 15-64 (% of total population),65.29075529,Population ages 65 and above (% of total population),7.156651231
LSO,Lesotho,"GDP per capita, PPP (constant 2011 international $)",2856.700426,"Unemployment, total (% of total labor force) (modeled ILO estimate)",23.40500069,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",59.3,Population ages 15-64 (% of total population),62.38256097,Population ages 65 and above (% of total population),4.901087497
LTE,Late-demographic dividend,"GDP per capita, PPP (constant 2011 international $)",17011.00133,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.065168555,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.881718851,Population ages 15-64 (% of total population),70.2609934,Population ages 65 and above (% of total population),10.72325299
LTU,Lithuania,"GDP per capita, PPP (constant 2011 international $)",31177.57805,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.352000237,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",3.6,Population ages 15-64 (% of total population),65.41254234,Population ages 65 and above (% of total population),19.70503316
LUX,Luxembourg,"GDP per capita, PPP (constant 2011 international $)",96792.59959,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.362999916,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.9,Population ages 15-64 (% of total population),69.93802183,Population ages 65 and above (% of total population),14.18315418
LVA,Latvia,"GDP per capita, PPP (constant 2011 international $)",26219.30647,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.519999981,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,Population ages 15-64 (% of total population),63.96060274,Population ages 65 and above (% of total population),20.04362032
MAC,"Macao SAR, China","GDP per capita, PPP (constant 2011 international $)",109932.4474,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.236999989,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),75.86173049,Population ages 65 and above (% of total population),10.48420293
MAF,St. Martin (French part),"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
MAR,Morocco,"GDP per capita, PPP (constant 2011 international $)",7641.37367,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.019000053,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14,Population ages 15-64 (% of total population),65.78071505,Population ages 65 and above (% of total population),7.012904821
MCO,Monaco,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
MDA,Moldova,"GDP per capita, PPP (constant 2011 international $)",6452.299738,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.47300005,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.2,Population ages 15-64 (% of total population),72.6703528,Population ages 65 and above (% of total population),11.46955634
MDG,Madagascar,"GDP per capita, PPP (constant 2011 international $)",1678.213529,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.758000016,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",46.2,Population ages 15-64 (% of total population),56.34513228,Population ages 65 and above (% of total population),2.986717126
MDV,Maldives,"GDP per capita, PPP (constant 2011 international $)",13582.90347,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.138000011,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",8,Population ages 15-64 (% of total population),76.14873879,Population ages 65 and above (% of total population),3.703344606
MEA,Middle East & North Africa,"GDP per capita, PPP (constant 2011 international $)",18344.93007,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.82624642,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.05348393,Population ages 15-64 (% of total population),64.93157649,Population ages 65 and above (% of total population),5.182161356
MEX,Mexico,"GDP per capita, PPP (constant 2011 international $)",18133.70147,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.424999952,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.8,Population ages 15-64 (% of total population),66.21946683,Population ages 65 and above (% of total population),7.223684981
MHL,Marshall Islands,"GDP per capita, PPP (constant 2011 international $)",3539.567394,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
MIC,Middle income,"GDP per capita, PPP (constant 2011 international $)",11567.12357,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.712730595,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.4999873,Population ages 15-64 (% of total population),66.59199085,Population ages 65 and above (% of total population),7.637014665
MKD,North Macedonia,"GDP per capita, PPP (constant 2011 international $)",13483.45346,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.75900078,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.9,Population ages 15-64 (% of total population),69.81281899,Population ages 65 and above (% of total population),13.67018138
MLI,Mali,"GDP per capita, PPP (constant 2011 international $)",2055.622912,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.223999977,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",60.6,Population ages 15-64 (% of total population),49.94928385,Population ages 65 and above (% of total population),2.507229758
MLT,Malta,"GDP per capita, PPP (constant 2011 international $)",38388.05641,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.47300005,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.4,Population ages 15-64 (% of total population),65.37377518,Population ages 65 and above (% of total population),20.3493243
MMR,Myanmar,"GDP per capita, PPP (constant 2011 international $)",5922.023358,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.577000022,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",23.6,Population ages 15-64 (% of total population),67.84430978,Population ages 65 and above (% of total population),5.784641933
MNA,Middle East & North Africa (excluding high income),"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.52520669,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12.24265731,Population ages 15-64 (% of total population),63.51351932,Population ages 65 and above (% of total population),5.375436375
MNE,Montenegro,"GDP per capita, PPP (constant 2011 international $)",17314.86237,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.88300037,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.4,Population ages 15-64 (% of total population),66.81554422,Population ages 65 and above (% of total population),14.97493664
MNG,Mongolia,"GDP per capita, PPP (constant 2011 international $)",12244.98173,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.011000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",9.7,Population ages 15-64 (% of total population),65.50689291,Population ages 65 and above (% of total population),4.083538787
MNP,Northern Mariana Islands,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
MOZ,Mozambique,"GDP per capita, PPP (constant 2011 international $)",1295.224901,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.240999937,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",65.3,Population ages 15-64 (% of total population),52.43843539,Population ages 65 and above (% of total population),2.890764457
MRT,Mauritania,"GDP per capita, PPP (constant 2011 international $)",3683.24957,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.548000336,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.4,Population ages 15-64 (% of total population),56.77570502,Population ages 65 and above (% of total population),3.141112158
MUS,Mauritius,"GDP per capita, PPP (constant 2011 international $)",21074.81304,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.673999786,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,Population ages 15-64 (% of total population),70.73213461,Population ages 65 and above (% of total population),11.47417307
MWI,Malawi,"GDP per capita, PPP (constant 2011 international $)",1163.277341,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.652999878,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",59.7,Population ages 15-64 (% of total population),53.45227916,Population ages 65 and above (% of total population),2.64543493
MYS,Malaysia,"GDP per capita, PPP (constant 2011 international $)",28201.05584,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.323999882,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",17.5,Population ages 15-64 (% of total population),69.33310429,Population ages 65 and above (% of total population),6.671754625
NAC,North America,"GDP per capita, PPP (constant 2011 international $)",54535.26622,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.887963586,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.233510975,Population ages 15-64 (% of total population),65.62722033,Population ages 65 and above (% of total population),15.95257736
NAM,Namibia,"GDP per capita, PPP (constant 2011 international $)",9850.912848,"Unemployment, total (% of total labor force) (modeled ILO estimate)",20.27300072,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49.3,Population ages 15-64 (% of total population),59.45371913,Population ages 65 and above (% of total population),3.636031681
NCL,New Caledonia,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.80000019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),68.08491641,Population ages 65 and above (% of total population),9.174157925
NER,Niger,"GDP per capita, PPP (constant 2011 international $)",943.599333,"Unemployment, total (% of total labor force) (modeled ILO estimate)",0.474999994,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.7,Population ages 15-64 (% of total population),47.42066751,Population ages 65 and above (% of total population),2.595007883
NGA,Nigeria,"GDP per capita, PPP (constant 2011 international $)",5315.823181,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.095999718,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",62.7,Population ages 15-64 (% of total population),53.38598302,Population ages 65 and above (% of total population),2.747377005
NIC,Nicaragua,"GDP per capita, PPP (constant 2011 international $)",4910.050643,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.836999893,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.9,Population ages 15-64 (% of total population),64.55082135,Population ages 65 and above (% of total population),5.247497448
NLD,Netherlands,"GDP per capita, PPP (constant 2011 international $)",49787.07275,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.196000099,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.2,Population ages 15-64 (% of total population),64.69564866,Population ages 65 and above (% of total population),19.19619263
NOR,Norway,"GDP per capita, PPP (constant 2011 international $)",65389.17698,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.345999956,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.3,Population ages 15-64 (% of total population),65.40173947,Population ages 65 and above (% of total population),17.04922216
NPL,Nepal,"GDP per capita, PPP (constant 2011 international $)",2741.436372,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.406999946,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",25,Population ages 15-64 (% of total population),63.8580639,Population ages 65 and above (% of total population),5.727670776
NRU,Nauru,"GDP per capita, PPP (constant 2011 international $)",14644.61813,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
NZL,New Zealand,"GDP per capita, PPP (constant 2011 international $)",36351.57473,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.068999767,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.6,Population ages 15-64 (% of total population),64.69414402,Population ages 65 and above (% of total population),15.65242453
