"","Country","country_region_code","country_region","sub_region_1","sub_region_2","date.x","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","polity2","date.y","PDI","IDV","MAS","UAI","LTO","X","COL","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc"
"52","Denmark","DK","Denmark","","","2020-04-26",-22,-12,80,-45,-16,5,-3,2020-04-26,"",2020-03-11,"Full","https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#many-countries-have-also-closed-borders-to-prevent-international-travelers-from-spreading-the-virus-29","Yes",2020-02-27,2020-03-16,8851,434,4,18,49,31,13,NA,NA,NA,NA,NA,-7.68306010928962,-6.98958333333333,-8.44827586206897,-1.45869252873563,84.8142076502732,85.3020833333333,84.2758620689655,-1.02622126436781,"DNK","GDP per capita, PPP (constant 2011 international $)",48419.43788,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.913000107,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,"Population ages 15-64 (% of total population)",63.7287848,"Population ages 65 and above (% of total population)",19.81295264,10.7876566211723,"Denmark","Hospital beds (per 1,000 people)",2.5,NA,NA,NA,"DNK",1.833378,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",5450661,43094,126.5,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,10,NA,18,74,16,23,NA,NA,26,7.96233704499326e-05,0.00162383975081187,-9.43820290958833,7.33855948847305e-07
"53","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-19,2020-04-10,1072,2,0,0,NA,10,-12,NA,NA,NA,NA,NA,27.3114754098361,26.90625,27.7586206896552,0.852370689655171,70.7868852459016,69.8125,71.8620689655172,2.04956896551724,"DJI","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.29500008,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",45.2,"Population ages 15-64 (% of total population)",65.89830466,"Population ages 65 and above (% of total population)",4.527579378,NA,"Djibouti","Hospital beds (per 1,000 people)",1.4,2017,87.07,47,"DJI",-0.9226128,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",486530,23000,21.2,1.37,0,104.13,1300,67.9,22.8,0.04,0,99.96,1,39.53,19.31,0.179,0.225,0.596,3,NA,NA,NA,NA,NA,NA,NA,NA,4.11074342794894e-06,0.00220335847738063,-12.4019066631008,0
"54","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-23,NA,16,0,NA,0,NA,6,NA,NA,NA,NA,NA,NA,26.1803278688525,26.1875,26.1724137931034,-0.0150862068965516,75.4590163934426,76.15625,74.6896551724138,-1.46659482758621,"DMA","GDP per capita, PPP (constant 2011 international $)",9875.788887,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,9.19784147386964,"Dominica","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"DMA",0.6176011,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",68910,754,91.4,19.63,-13.87,14.15,5400,94,304.8,6.67,20,73.33,2,15.27,6.73,0.177,0.328,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000232186910462923,NA,NA
"55","Dominican Republic","DO","Dominican Republic","","","2020-04-26",-72,-55,-66,-82,-47,20,-64.4,2020-04-26,"",2020-03-17,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Dominican_Republic","Yes",2020-03-02,2020-03-21,6416,286,0,12,55,27,8,NA,NA,NA,NA,3,26.7049180327869,27.125,26.2413793103448,-0.883620689655171,87.2786885245902,86.4375,88.2068965517241,1.76939655172414,"DOM","GDP per capita, PPP (constant 2011 international $)",15748.38431,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.84499979,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.8,"Population ages 15-64 (% of total population)",64.94005302,"Population ages 65 and above (% of total population)",7.082817476,9.66449305549967,"Dominican Republic","Hospital beds (per 1,000 people)",1.6,2017,61.74,49,"DOM",-0.3962312,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",9183984,48730,188.5,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582,7,"02/09/2013",NA,NA,NA,NA,NA,NA,NA,3.11411692354865e-05,0.000698607488863221,-10.3769798445598,0
"56","Ecuador","EC","Ecuador","","","2020-04-26",-86,-80,-81,-83,-58,26,-77.6,2020-04-26,"",2020-03-24,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ecuador","Yes",2020-03-01,2020-03-14,24258,871,3,5,62,28,15,8.50877193,7.056999162,2.261666667,6.416107383,6,22.3934426229508,22.6875,22.0689655172414,-0.618534482758619,85.4590163934426,83.25,87.8965517241379,4.64655172413794,"ECU","GDP per capita, PPP (constant 2011 international $)",10412.19927,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.967999935,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.1,"Population ages 15-64 (% of total population)",64.81411827,"Population ages 65 and above (% of total population)",7.157289727,9.25073340442536,"Ecuador","Hospital beds (per 1,000 people)",1.5,2017,57.17,51,"ECU",-0.6301615,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",13547510,283560,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,5,"01/07/2010",78,8,63,67,NA,NA,92,6.42922573963776e-05,0.00179058734778568,-9.6520713477132,2.21442907220589e-07
"57","Egypt","EG","Egypt","","","2020-04-26",-57,-11,-47,-48,-31,15,-38.8,2020-04-26,"",2020-03-24,"Full","https://www.thenational.ae/world/mena/curfew-crash-kills-18-as-egypt-enters-lockdown-1.997575","Yes",2020-02-15,2020-03-09,5042,359,6,5,62,43,20,8.762311228,4.65528562,3.090610637,8.04990151,6,23.7540983606557,21.375,26.3793103448276,5.00431034482759,36.1475409836066,40.21875,31.6551724137931,-8.5635775862069,"EGY","GDP per capita, PPP (constant 2011 international $)",11013.73549,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.76000023,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.2,"Population ages 15-64 (% of total population)",60.97149994,"Population ages 65 and above (% of total population)",5.229779346,9.30689845373597,"Egypt, Arab Rep.","Hospital beds (per 1,000 people)",1.6,2017,96.91,52,"EGY",-0.412311,"EGY",-0.38319451,-0.28089619,0.5699845,0.034835815,0.63414615,0.60902089,"NORTHERN AFRICA                    ",78887007,1001450,78.8,0.24,-0.22,32.59,4000,57.7,131.8,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493,-4,"20/05/2014",80,38,52,68,NA,NA,62,4.55081278467061e-06,6.39142007250953e-05,-12.300204706961,7.60581523900381e-08
"58","El Salvador","SV","El Salvador","","","2020-04-26",-79,-63,-74,-74,-49,23,-67.8,2020-04-26,"",2020-03-11,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_El_Salvador","Yes",2020-03-19,2020-04-01,345,9,0,18,49,10,-3,NA,NA,NA,NA,3,33.4426229508197,32.96875,33.9655172413793,0.99676724137931,62.9016393442623,64.3125,61.3448275862069,-2.9676724137931,"SLV","GDP per capita, PPP (constant 2011 international $)",7393.006735,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.110000134,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.8,"Population ages 15-64 (% of total population)",64.58082908,"Population ages 65 and above (% of total population)",8.287090005,8.90828979655357,"El Salvador","Hospital beds (per 1,000 people)",1.1,2017,48.93,146,"SLV",-0.8247701,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",6822378,21040,324.3,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599,8,"01/07/2007",66,19,40,94,NA,NA,81,1.31918811886413e-06,5.05688778897915e-05,-13.5384940720605,0
"59","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-15,2020-04-24,315,1,0,0,NA,14,-26,NA,NA,NA,NA,NA,29.7049180327869,29.46875,29.9655172413793,0.49676724137931,78.1803278688525,77.9375,78.448275862069,0.510775862068968,"GNQ","GDP per capita, PPP (constant 2011 international $)",20181.13296,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.433000088,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",53.4,"Population ages 15-64 (% of total population)",60.42552379,"Population ages 65 and above (% of total population)",2.457877347,9.91250343504722,"Equatorial Guinea","Hospital beds (per 1,000 people)",NA,2017,93.53,67,"GNQ",-1.41511,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",540109,28051,19.3,1.06,0,85.13,2700,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,0.906,0.062,-6,NA,NA,NA,NA,NA,NA,NA,NA,1.85147812756314e-06,0.000583215610182389,-13.199526250023,0
"60","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",2020-03-22,NA,39,0,NA,0,NA,7,NA,NA,NA,NA,NA,NA,22.327868852459,21.125,23.6551724137931,2.5301724137931,53.9344262295082,60,47.2413793103448,-12.7586206896552,"ERI","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.144000053,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",42.9,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,NA,"Eritrea","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"ERI",-1.58643,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",4786994,121320,39.5,1.84,0,74.87,700,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643,-7,NA,NA,NA,NA,NA,NA,NA,NA,0,8.14707517912076e-06,NA,NA
"61","Estonia","EE","Estonia","","","2020-04-26",-47,-17,49,-35,-25,4,-15,2020-04-26,"",2020-03-13,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia","Yes",2020-02-28,2020-03-26,1660,50,0,16,51,30,3,8.291390728,5.233423545,2.344414894,8.292767733,6,3.26229508196721,2.96875,3.58620689655172,0.617456896551724,82.7540983606557,83.5,81.9310344827586,-1.56896551724138,"EST","GDP per capita, PPP (constant 2011 international $)",31035.39362,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.114999771,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.8,"Population ages 15-64 (% of total population)",64.01656941,"Population ages 65 and above (% of total population)",19.62635685,10.342883561867,"Estonia","Hospital beds (per 1,000 people)",5,NA,NA,NA,"EST",1.240627,"EST",0.025314417,-0.29543343,-0.49283144,-0.22173999,-0.56668901,0.086126119,"BALTICS                            ",1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666,9,"01/07/2011",NA,NA,NA,NA,NA,NA,NA,3.77548547079926e-05,0.00125346117630536,-10.1843964890015,0
"62","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ethiopia","Yes",2020-03-14,2020-04-06,126,3,0,13,54,15,-8,9.168005355,4.209431345,2.859786477,8.33908046,5,30.672131147541,28.84375,32.6896551724138,3.84590517241379,47.8360655737705,50.71875,44.6551724137931,-6.0635775862069,"ETH","GDP per capita, PPP (constant 2011 international $)",1794.290806,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.08100009,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49,"Population ages 15-64 (% of total population)",55.7158851,"Population ages 65 and above (% of total population)",3.501132998,7.4923651287017,"Ethiopia","Hospital beds (per 1,000 people)",0.3,NA,NA,NA,"ETH",-0.4282891,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426,1,"07/04/2016",64,27,41,52,25,NA,73,4.01187616980458e-08,1.68498799131793e-06,-17.031421739283,0
"63","Fiji","FJ","Fiji","","","2020-04-26",-40,-23,-22,-59,-16,13,-32,2020-04-26,"",2020-03-20,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Fiji","Yes",2020-03-20,NA,18,0,NA,9,58,9,NA,NA,NA,NA,NA,NA,28.7213114754098,28.4375,29.0344827586207,0.59698275862069,82.655737704918,82.125,83.2413793103448,1.11637931034483,"FJI","GDP per capita, PPP (constant 2011 international $)",9653.618373,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.100999832,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.1,"Population ages 15-64 (% of total population)",65.03769739,"Population ages 65 and above (% of total population)",5.449680413,9.17508808498539,"Fiji","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"FJI",-0.1286585,NA,NA,NA,NA,NA,NA,NA,"OCEANIA                            ",905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776,2,"01/07/2014",NA,NA,NA,NA,NA,NA,NA,0,1.98686681038337e-05,NA,NA
"64","Finland","FI","Finland","","","2020-04-26",-45,-14,56,-56,-20,6,-15.8,2020-04-26,"",2020-03-27,"Full","http://global.chinadaily.com.cn/a/202003/27/WS5e7ce399a310128217282530.html","Yes",2020-01-30,2020-03-22,4740,199,0,2,65,59,7,8.717131474,7.399197593,1.587884806,8.056737589,5,-0.409836065573771,-0.84375,0.0689655172413793,0.912715517241379,83.7213114754098,87.03125,80.0689655172414,-6.96228448275862,"FIN","GDP per capita, PPP (constant 2011 international $)",42060.80412,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.59499979,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.3,"Population ages 15-64 (% of total population)",62.13402948,"Population ages 65 and above (% of total population)",21.72078755,10.6468715674762,"Finland","Hospital beds (per 1,000 people)",4.4,NA,NA,NA,"FIN",2.046279,"FIN",0.59955418,-0.28276014,0.088596597,-0.13623562,-0.25009719,0.099907011,"WESTERN EUROPE                     ",5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676,10,"01/07/2010",33,63,26,59,NA,NA,37,3.80397341271085e-05,0.000906072059108012,-10.1768793096094,0
"65","France","FR","France","","","2020-04-26",-83,-58,-68,-77,-43,16,-65.8,2020-04-26,"",2020-03-16,"Full","https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#spain-became-the-second-european-country-to-impose-a-nationwide-quarantine-on-march-14-on-thursday-the-lockdown-was-extended-to-at-least-april-12-21","Yes",2020-01-25,2020-02-15,126835,23660,244,13,54,64,43,8.483417085,6.566497462,NA,7.814401623,5,26.1366120218579,25.9131944444444,26.3831417624521,0.469947318007666,77.4134790528233,77.7847222222222,77.0038314176245,-0.780890804597703,"FRA","GDP per capita, PPP (constant 2011 international $)",39555.54466,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.427000046,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6,"Population ages 15-64 (% of total population)",62.00891081,"Population ages 65 and above (% of total population)",20.03462475,10.5854611570485,"France","Hospital beds (per 1,000 people)",6.5,2017,28.63,59,"FRA",1.440087,"FRA",0.35687107,-0.030104645,-0.12234953,0.52805352,-0.174711,-0.16548221,"WESTERN EUROPE                     ",60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,9,"01/07/2015",68,71,43,86,NA,NA,29,0.000388658044919277,0.00208349294705564,-7.8528106628515,4.00813875571866e-06
"66","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"None","","No",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GUF",1.210384,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",199509,91000,2.2,0.42,6.27,12.07,8300,83,255.6,0.14,0.05,99.81,2,20.46,4.88,0.066,0.156,0.778,NA,"01/07/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-27,"Partial","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_French_Polynesia","Yes",2020-03-19,NA,58,0,0,2,65,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PYF","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.09599972,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",68.94759777,"Population ages 65 and above (% of total population)",8.290508105,NA,"French Polynesia","Hospital beds (per 1,000 people)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCEANIA                            ",274578,4167,65.9,60.6,2.94,8.44,17500,98,194.5,0.82,5.46,93.72,2,16.68,4.69,0.031,0.19,0.769,NA,"01/07/2007",NA,NA,NA,NA,NA,NA,NA,0,0.000211233237914181,NA,0
"68","Gabon","GA","Gabon","","","2020-04-26",-47,-36,-33,-56,-14,20,-37.2,2020-04-26,"",NA,"None","","No",2020-03-13,2020-03-21,238,3,0,0,NA,16,8,NA,NA,NA,NA,NA,33.9672131147541,34.75,33.1034482758621,-1.64655172413793,76.2786885245902,72.1875,80.7931034482759,8.60560344827586,"GAB","GDP per capita, PPP (constant 2011 international $)",15861.58536,"Unemployment, total (% of total labor force) (modeled ILO estimate)",20.00399971,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",49.9,"Population ages 15-64 (% of total population)",59.41022284,"Population ages 65 and above (% of total population)",3.563907468,9.67165544984012,"Gabon","Hospital beds (per 1,000 people)",NA,2017,50.66,60,"GAB",-0.7061859,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",1424906,267667,5.3,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,3,"08/03/2012",NA,NA,NA,NA,NA,NA,NA,2.10540204055566e-06,0.000167028561884082,-13.0710041159287,0
"69","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-27,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia","Yes",2020-03-18,2020-03-24,10,1,0,2,65,11,5,NA,NA,NA,NA,NA,40.1967213114754,39.6875,40.7586206896552,1.07112068965517,15.9508196721311,14.28125,17.7931034482759,3.51185344827586,"GMB","GDP per capita, PPP (constant 2011 international $)",2317.690217,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.055999756,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.8,"Population ages 15-64 (% of total population)",53.141274,"Population ages 65 and above (% of total population)",2.589980939,7.74832637260465,"Gambia, The","Hospital beds (per 1,000 people)",NA,2017,43.29,65,"GMB",-0.4307549,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",1641564,11300,145.3,0.71,1.57,72.02,1700,40.1,26.8,25,0.5,74.5,2,39.37,12.25,0.308,0.142,0.549,4,"13/03/2013",NA,NA,NA,NA,NA,NA,NA,6.09175152476541e-07,6.09175152476541e-06,-14.3111600038936,0
"70","Georgia","GE","Georgia","","","2020-04-26",-78,-59,-33,-70,-51,18,-58.2,2020-04-26,"",2020-03-22,"Partial","https://www.garda.com/crisis24/news-alerts/325581/georgia-government-places-two-cities-on-lockdown-march-22-update-6","Yes",2020-02-27,2020-04-06,511,6,0,7,60,31,-8,8.69363167,4.834934498,2.601345669,7.176076555,6,7.78688524590164,3.6875,12.3103448275862,8.62284482758621,75.8360655737705,80.15625,71.0689655172414,-9.08728448275862,"GEO","GDP per capita, PPP (constant 2011 international $)",10651.94209,"Unemployment, total (% of total labor force) (modeled ILO estimate)",14.39799976,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.7,"Population ages 15-64 (% of total population)",65.33926797,"Population ages 65 and above (% of total population)",14.86549143,9.27349751038131,"Georgia","Hospital beds (per 1,000 people)",2.6,2017,62.19,62,"GEO",0.3280484,"GEO",-0.48542792,-0.08132492,0.56275272,-0.25436422,0.62781996,-0.20484574,"C.W. OF IND. STATES ",4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553,7,"01/07/2014",NA,NA,NA,NA,NA,NA,NA,1.28714678815044e-06,0.000109622001457479,-13.5630825813471,0
"71","Germany","DE","Germany","","","2020-04-26",-52,3,78,-39,-18,6,-5.6,2020-04-26,"",2020-03-20,"Full","https://www.politico.eu/article/german-state-of-bavaria-heads-for-full-coronavirus-lockdown/","Yes",2020-01-28,2020-03-10,157641,6115,13,9,58,61,19,8.929064039,7.187779434,1.87709773,8.21112767,6,7.9344262295082,6.84375,9.13793103448276,2.29418103448276,81.8852459016394,81.71875,82.0689655172414,0.350215517241381,"DEU","GDP per capita, PPP (constant 2011 international $)",45936.18271,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.042999983,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.8,"Population ages 15-64 (% of total population)",64.9170079,"Population ages 65 and above (% of total population)",21.461962,10.7350083798434,"Germany","Hospital beds (per 1,000 people)",8.3,NA,NA,NA,"DEU",1.630446,"DEU",0.62439817,-0.044485882,-0.079865031,-0.29426524,-0.051002067,-0.11882253,"WESTERN EUROPE                     ",82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695,NA,"01/07/2011",35,67,66,65,31,NA,33,7.4191087535668e-05,0.00191260134590519,-9.50886652907977,1.57724307107716e-07
"72","Ghana","GH","Ghana","","","2020-04-26",-47,-36,-34,-48,-10,19,-35,2020-04-26,"",2020-03-15,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ghana","Yes",2020-03-13,2020-03-22,1671,16,0,14,53,16,7,8.456829897,7.347938144,1.835051546,6.617268041,6,34.1803278688525,34.25,34.1034482758621,-0.146551724137929,49,37.21875,62,24.78125,"GHA","GDP per capita, PPP (constant 2011 international $)",4211.845783,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.330999851,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",47.5,"Population ages 15-64 (% of total population)",59.33504041,"Population ages 65 and above (% of total population)",3.068898007,8.34565625886087,"Ghana","Hospital beds (per 1,000 people)",NA,2017,53.85,63,"GHA",0.0718521,"GHA",0.084618963,0.6184504,-0.22070853,-0.074184068,0.11105221,-0.19801778,"SUB-SAHARAN AFRICA                 ",22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,8,"22/10/2014",77,20,46,54,16,NA,80,7.13980615069311e-07,7.45663504863011e-05,-14.1524100247383,0
"73","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-24,"Full","https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/","Yes",2020-03-20,NA,141,0,NA,5,62,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GIB","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,NA,"Gibraltar","Hospital beds (per 1,000 people)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",27928,7,3989.7,171.43,0,5.13,17500,NA,877.7,0,0,100,NA,10.74,9.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00504869664852478,NA,NA
"74","Greece","GR","Greece","","","2020-04-26",-73,-3,-10,-61,-40,15,-37.4,2020-04-26,"",2020-03-18,"Full","https://www.tornosnews.gr/en/greek-news/society/39369-greece-in-total-lockdown-from-wednesday-due-to-coronavirus-outbreak.html","Yes",2020-02-27,2020-03-12,2534,136,5,11,56,31,17,NA,NA,NA,NA,NA,14.4426229508197,12.8125,16.2413793103448,3.42887931034483,67.655737704918,69.875,65.2068965517241,-4.66810344827586,"GRC","GDP per capita, PPP (constant 2011 international $)",25140.70314,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.23800087,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",10.9,"Population ages 15-64 (% of total population)",64.27348306,"Population ages 65 and above (% of total population)",21.65527208,10.1322434507269,"Greece","Hospital beds (per 1,000 people)",4.3,NA,NA,NA,"GRC",0.1529743,"GRC",-0.3600854,-0.15707357,-0.043773349,0.42932299,-0.17281643,-0.35150549,"WESTERN EUROPE                     ",10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733,10,"01/07/2011",60,35,57,112,NA,NA,65,1.27244818469361e-05,0.000237087036765706,-11.2719827156545,4.67811832607944e-07
