Country Name,Country Code,Indicator Name,2016,2017,2018,2019
British Virgin Islands,VGB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Virgin Islands (U.S.),VIR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
Vietnam,VNM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.5,,,
Vanuatu,VUT,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",18.8,,,
World,WLD,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",20.17716952,,,
Samoa,WSM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",12,,,
Kosovo,XKX,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,
"Yemen, Rep.",YEM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",28.7,,,
South Africa,ZAF,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",39.6,,,
Zambia,ZMB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",60.6,,,
Zimbabwe,ZWE,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",54.6,,,
